19500	20551
38250	10051 11447 14265 17959 20626
42000	24098 28180 29528
65500	6050 15018 15639 21078 21758
69500	143 15315 17119 17640 18196 19973 25346 28410
83250	6174 25753 28885
145750	11578
154500	3627 5863 8689 12168 12220 21110 25820 28370
200250	12352
232000	361 7868 12133 16311 21865
236000	7248 18275 22523
239250	3619 12647
252500	12541 18544 18741 23861
266500	22659
267250	679 7105 16406
299750	24601
309750	4545 15365
341000	679 2257 4003 9290 17958 25676 26722 26754
371250	10106 21110
380000	12329
393250	12068 20154
434750	4571 6104 19973
439000	7105 25415 26404
448250	15911 19962
452750	15638
472000	3515 6211 14647 23584 25333
528250	155 2963 8693 26270
563500	22058 28653
573000	18868 19615 19962
599750	20297 24986 27785
620500	934
621500	3723 6143
691500	4544 20154 21672 26288 28641
711500	11052 26722
725000	1831 2257
731750	7692 9195 29008
745750	24869 26699 29099
746000	6571 7105 21865
776750	16939
791500	8738 10329 12198 14712 16606 20297 21050 23424 23492 24831
799000	750 11687
832250	1831
847750	1752 13390 21684 25770
848500	1501 9838 11196 23628 24977
854250	24601
861750	23284
887750	15019 26754
892500	1966 3627 3852 6080 10097 12243 23516 29099
965500	10646 18227 25003 26378
981000	4997 8662 8689 11176 14020 14153 29022
1025250	509 13247 15883
1046250	2257
1063000	530 4443 14165 15019 15943 16186 16653 19216 20551 22280 22749 23214 28481
1074750	2257 11080 12220 16550 22556 27092
1086750	1084 7868 18977 21533 28791
1104500	18678 21110
1110750	3458 22499
1118250	13721 14794 24601 26665
1140750	1293 3285 7868 15622 27063
1181250	5458 6672 18932
1189000	12175
1194750	679 4059 5306 7400 7868 7976 20551 24669 25169 27052
1240250	5998 7871 12394 18392 20297 21092 23623
1244250	15606
1247000	2669 25635
1319000	5797 10449
1324500	7868 8028
1381000	1831 29099
1459000	6147
1492500	3926 16540 28899
1517000	4808 7208 12977 15299 19903 27205
1525000	2257 11196
1528500	3627 6158 7248 12162 23774 24929 28370
1531250	26523
1561250	3627 13891
1579250	4078 4939 7963 14969 15721 25424
1617250	2217 5077 9633 12283 18002 19405
1622500	8662
1629250	143 9120 14266 18024 19891 28937 29099
1661750	3151 3324 9802 14020 15534 21950
1688750	3145 12220
1699500	16716
1710500	2729 14780 21246 28065 29547
1724250	10097 16176
1727500	2787 3228 4452
1758250	12560 27791
1782250	155 3237 18002 19374 24460 28333
1792000	11176 13259 16500 16540 20154 20630 20979 23214 23351 23623 28937
1793250	2033 14020
1812000	7868 29077
1832000	7868 10151 10916 12287 25687
1904750	9138 15906 22484 23928 25888
1906000	2438 12220 21110
1909250	504 2963 6326 10014 15811 20516 23470 23896 24645
1911500	1073 8868 16110 21815
1953250	6096 12394 14020
1969000	6352 12220 18575 20297
1971500	7692 8316 11000 22043
2033500	712 3510 7473 8689 11176 11465 12220 18075 20417
2050000	5306 14242 14415 21336 21659 24377 26127 26866 27791
2078000	679 13097 17752
2088000	4078 15019
2103250	3627 4220 6290 7822 11022 13737 16564 25219 28855
2132250	28142
2138750	11029
2168250	7868 21838
2182750	18808
2187500	2963 7990
2198750	9250 13054 13216
2200750	9315 27155
2232500	679 4683 11000 14261 24986
2251750	22727 25177
2253250	18730 26722
2316250	679 9688
2331750	5971 7179 8628 19539 21092 21975
2350750	24788 25386
2378500	7230 10014 19974 23774 25372 28243
2448250	17423 24669
2492500	10464 11124 20083 20979 23969
2688750	155 1739 3181 3774 4571 13450 15721 24601
2752000	527 3032 3164 3313 5667 11679 15820 17958 22179 26728 27906
2768250	23421
2771250	255 476 480 2963 8838 23284 25331 26314 26722 29099 29490
2788750	2898 6918 11176 11431 13274 18515 24274 29084
2807500	11329 14515 27117 29203
2823250	2610
2852250	4647 11682 21706
2870250	8327 14020
2874500	7323 7386 7910 14914 19422 28370
2882750	4452
2891500	2257 3627 8027
2920750	23538
2921750	143 11176 20184 25272 25733
2940000	11767 12168 14580 19835 24519 26722
2968250	14273 16463 21110
3009000	5627 8724 10604 12327 15019 17732 19014 21657 22393 28347 28411
3010000	4220
3014750	1147 2353 3228 7868 18558
3031750	6114 12977 16110 18730 23214 28924
3035250	14020
3054250	12285
3089500	1917
3114000	2655 8689 13112 20536 21092 21110 23928
3148500	4762 6908 7620 8327 12795 16217 19796 25793 28561
3149000	9817 13162 18964 29008
3211250	7173 11076 12431
3216500	2963 21501 27168 28992
3249250	26394
3266750	3168 5416 12220
3282250	11857 19126
3293750	26523
3304500	679 3804 4931 8219 8689 11022 17228 24461 25169
3312500	19993
3317500	679 16836
3344750	1771 3313 3329 5015 7173 8805 11022 11078 12220 28524 29099
3350250	1672 3384 3740 14413 18736 25420
3363000	15315 18868 24158
3404000	22246 28653
3511000	13020 14020 29203
3520000	1700 22058 23409 28065
3524750	4491 4808 6868 15065 17920 26871
3549000	5184 5285 5957 12395 14261
3573750	11670
3581250	12512
3590000	1776 28924
3625250	17327 21372
3644250	4381 8637 15142 17781 22425
3675000	13779 14292
3684750	1831
3719250	125 3362 4960 18624 25631
3723750	1831 13247 21672
3742000	13020
3787750	19458 26969
3795000	26127 29099
3799500	1721 6539
3846250	11679 15584
3849750	9549
3895750	5469 12475 12933
3903500	1392 15138 27609 28605
3913250	5845 13240
3952000	2128 4648 5474 12220 13998 16550 21844 29099
3954500	931 12162 15584 18292 26315
3963750	251 3590 4949 7356 11176 12977 14020 23662
3977750	21869 23273
3981750	1831 16082
4004500	5211 18281
4037500	14523 26614
4047000	3983 7105 17945 20551 29446
4059500	7868 9549 14120
4073250	12792 27415
4115500	6731 14470
4133750	1831
4153000	14942 21865 22621 26523
4184250	241 647 4949 8565 12220 16550 27371
4193750	24296
4195500	9802 18097 22246
4215750	3760 11391
4256000	2059 3324 13883 15661 17647 17771
4256500	4694
4257000	27625
4259500	6951 11018 11176 17725 26722 29099
4317250	21110
4336750	16463 20846
4370750	1666 7168
